候选,仓库,stars,语言,license,最近push,复式记账,资产负债表,利润表,现金流量表,权益变动,结账反结账,支付宝微信导入,季度累计口径,PDF导出,CSV导出,本地单机,适配成本,综合评级,结论
hledger+deg+ffh,https://github.com/plaintextaccounting/hledger + https://github.com/deb-sig/double-entry-generator + https://github.com/adept/full-fledged-hledger,4696/716/573,Haskell/Go/Haskell,GPL-3.0/Apache-2.0/BSD-3,2026-09-06/2026-08-04/2026-04-10,引擎级,✅,✅,✅(简表),⚠️(需壳层汇总),✅ close--retain+快照,✅ deg原生,✅ --quarterly--cumulative,✅ html→Edge PDF,✅,✅ 纯文件,低(只写胶水),★★★★★,推荐
beancount+fava+deg,https://github.com/beancount/beancount + https://github.com/beancount/fava,5973/2564,Python,GPL-2.0/MIT,2026-08-23/2026-09-05,引擎级,✅,✅,❌,❌,❌ 需自写,✅ deg原生,⚠️ 需自拼,⚠️ 页面打印,⚠️,✅ 纯文件,中,★★★★,备选
Beancount-Trans,https://github.com/dhr2333/Beancount-Trans,77,TypeScript,MIT,2026-08-29,✅,✅(fava),✅(fava),❌,❌,❌,✅ 含BERT自动分类,❌,❌,❌,⚠️ Docker+PG+Redis+Celery+BERT,中(可抄解析映射代码),★★★★,抄素材/备选
django-ledger,https://github.com/arrobalytics/django-ledger,1379,Python,GPL-3.0,2026-09-03,引擎级,✅,✅,✅,⚠️,✅ closing entries,❌ 需自写,⚠️ 需自拼,⚠️,⚠️,✅ Django/SQLite,高(重写Web应用),★★★☆,备选引擎
GnuCash,https://github.com/Gnucash/gnucash,4338,C,GPL-2.0+,2026-09-05,✅ 完整,✅,✅,✅,✅,⚠️ 年度结账,❌ CSV手动,✅ 报告期可选,⚠️ 打印导出,✅,✅ 桌面应用,中(导入自动化弱),★★★☆,不推荐主用
Firefly III,https://github.com/firefly-iii/firefly-iii,24510,PHP,AGPL-3.0,2026-09-06,⚠️ 伪双记,❌,❌,❌,❌,❌,⚠️ CSV importer,❌,❌,✅,✅,低但能力不达标,★★,不选
Akaunting,https://github.com/akaunting/akaunting,10109,PHP,NOASSERTION,2026-09-04,✅,❌(核心无),✅ P&L,⚠️ Widget,❌,❌,❌,❌,⚠️,✅,✅ PHP,高且偏企业,★★,不选
Actual Budget,https://github.com/actualbudget/actual,28577,TypeScript,MIT,2026-09-05,❌ 预算信封,❌,❌,❌,❌,❌,❌,❌,❌,✅,✅,_,不适用,不选
ldgr,https://github.com/kafkade/ldgr,0,Rust,Apache-2.0,2026-08-31,✅ hledger兼容,✅,✅,❌,❌,❌,⚠️ CSV profiles,⚠️,✅ 自带PDF,⚠️,✅ Rust,中(太新),★★☆,观察
full-fledged-hledger,https://github.com/adept/full-fledged-hledger,573,Haskell,BSD-3,2026-04-10,✅ 借用hledger,✅,✅,✅,⚠️,✅ 工作流,✅ CSV rules,✅,⚠️ 脚本,✅,✅,低(模式借鉴),★★★★★,纳入方案A
